id,Gender,Have you previously attended any events organized by Tribe?,What day of the week are most convenient for you to attend events?,During which time(s) of the day are you most likely to attend events?,What topics would you be most interested in discussing or learning about during Tribe events?,"Would you like to see more gender focused events (e.g. female entrepreneurship, including discussions with female founders and women in business)",Do you feel that event advertisements are relevant to your interests and needs as a member of your gender group,What improvements or changes would encourage you to attend Tribe events more frequently? (Open-ended)?,Event Date,Year,Month,Month_name
7305850247,Female,Yes,Thursdays,2pm - 4pm,"Entrepreneurship, invoicing, startup life",Yes,Yes,"Female entrepreneur, young entrepreneur, easy funding applications events. Keep up the great work! ",2024-08-27,2024,8,August
7415643697,Male,Yes,Mondays,9am - 12pm,Start ip,No,Yes,Is good ,2024-09-12,2024,9,September
7415653430,Male,No,Tuesdays,9am - 12pm,"Startups, Entrepreneurs",No,Yes,Quick intro of tribe Tampere ,2024-09-12,2024,9,September
7415669984,Male,No,Fridays,9am - 12pm,Beginig of startup,I'm indifferent,I'm indifferent,Everything looks grate ,2024-09-12,2024,9,September
7415673883,Male,Yes,Thursdays,9am - 12pm,Knowledge exchanges and networking,Yes,Yes,Nothing in mind at the moment,2024-09-12,2024,9,September
7415708489,Male,Yes,"Fridays, Saturdays",4pm - 6pm,startup creation stories,I'm indifferent,I'm indifferent,More advertisement,2024-09-12,2024,9,September
7415716921,Female,Yes,Thursdays,4pm - 6pm,Networking,Yes,Yes,.,2024-09-12,2024,9,September
7416480639,Female,Yes,Thursdays,12pm - 2pm,Technology,Yes,Yes,-,2024-09-12,2024,9,September
7419107040,Male,No,"Wednesdays, Thursdays",4pm - 6pm,"Entrepreneurship journey, lessons learned, success stories, how to start",No,Yes,Nothing for now,2024-09-12,2024,9,September
7574451127,Male,Yes,Tuesdays,4pm - 6pm,"Rules and regulations as a employer/entrepreneur, funding",No,Yes,More workshop format instead of presentation,2024-09-17,2024,9,September
7574452983,Male,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",4pm - 6pm,Start_up related,Yes,Yes,More community focused,2024-09-17,2024,9,September
7574456170,Female,Yes,"Tuesdays, Thursdays, Saturdays","2pm - 4pm, 4pm - 6pm, 6pm - 8pm","Experienced speakers, business theories and models, trends",Yes,I'm indifferent,"Cross_marketing, advertise in advance",2024-09-17,2024,9,September
7574458157,Male,Yes,Tuesdays,4pm - 6pm,Sales and personal growth,I'm indifferent,I'm indifferent,nil,2024-09-17,2024,9,September
7574459758,Male,No,"Tuesdays, Wednesdays, Thursdays",4pm - 6pm,Networking,I'm indifferent,I'm indifferent,nil,2024-09-17,2024,9,September
7574498432,Female,Yes,"Wednesdays, Thursdays, Fridays",4pm - 6pm,nil,Yes,Yes,nil,2024-09-17,2024,9,September
7574499508,Male,Yes,"Thursdays, Fridays","2pm - 4pm, 4pm - 6pm, 6pm - 8pm","Networking, ICT",I'm indifferent,Yes,More networking events,2024-09-17,2024,9,September
7574500029,Male,Yes,Thursdays,4pm - 6pm,nil,I'm indifferent,I'm indifferent,nil,2024-09-17,2024,9,September
7574500620,Male,Yes,Wednesdays,"2pm - 4pm, 4pm - 6pm",nil,Yes,Yes,nil,2024-09-17,2024,9,September
7574502084,Male,Yes,"Tuesdays, Wednesdays, Thursdays","2pm - 4pm, 4pm - 6pm, 6pm - 8pm",nil,I'm indifferent,Yes,"less IT and AI, More eye on ground matters",2024-09-17,2024,9,September
7574503701,Male,No,"Mondays, Tuesdays, Wednesdays, Fridays","4pm - 6pm, 6pm - 8pm","IT, AI, Tech, UX/Psychology based startups",Yes,Yes,nil,2024-09-26,2024,9,September
7574504987,Female,No,"Fridays, Saturdays, Sundays","4pm - 6pm, 6pm - 8pm","Connection, technical skills, marketing",Yes,I'm indifferent,nil,2024-09-26,2024,9,September
7574507077,Male,No,"Fridays, Saturdays, Sundays","4pm - 6pm, 6pm - 8pm","Networking, Brainstorming",I'm indifferent,Yes,everything is good,2024-09-26,2024,9,September
7574508202,Male,No,Thursdays,4pm - 6pm,nil,Yes,Yes,nil,2024-09-26,2024,9,September
7574509734,Male,No,Fridays,6pm - 8pm,nil,I'm indifferent,I'm indifferent,"It's my first time, just thank you",2024-09-26,2024,9,September
7574511451,Male,No,"Mondays, Wednesdays, Fridays",4pm - 6pm,"AI, Tech startup",Yes,Yes,good as it is,2024-09-26,2024,9,September
7574513425,Male,Yes,Thursdays,4pm - 6pm,How to crack ICT jobs,Yes,Yes,nothing in mind,2024-09-26,2024,9,September
7574515278,Non-Binary,Yes,"Mondays, Fridays","12pm - 2pm, 4pm - 6pm","Starting business, networking",I'm indifferent,Yes,"Very happy with the event modality, I enjoyed the laid back atmosphere",2024-09-26,2024,9,September
7574516289,Male,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","4pm - 6pm, 6pm - 8pm",nil,I'm indifferent,I'm indifferent,nil,2024-09-26,2024,9,September
8907081097,Female,No,Thursdays,4pm - 6pm,-,Yes,Yes,-,2025-04-10,2025,4,April
8907083429,Male,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",4pm - 6pm,Sparring and developing ideas,I'm indifferent,Yes,Participation list (like delegation list). Helps to connect with people later on.,2025-04-10,2025,4,April
8907085497,Male,Yes,Fridays,6pm - 8pm,Web3,I'm indifferent,Yes,I don’t have idea,2025-04-10,2025,4,April
8907100307,Male,No,Wednesdays,4pm - 6pm,Marketing for build up your own firm,Yes,Yes,"Next time when doing speed dating concept, chairs should be bit further away of each other. ",2025-04-10,2025,4,April
8907198922,Male,Yes,Fridays,4pm - 6pm,"Sales, finance, legal",No,I'm indifferent,It’s ok,2025-04-10,2025,4,April
8907256684,Female,No,"Thursdays, Fridays, Saturdays",6pm - 8pm,"Businesses in trend ,beauty industry",I'm indifferent,Yes,New to the group and hope to attend more event to share and learn more ,2025-04-10,2025,4,April
8907259768,Female,No,Fridays,6pm - 8pm,New business ideas,I'm indifferent,Yes,I am just new in this group and finland also so i want to interested to attend more ,2025-04-10,2025,4,April
8907276201,Female,No,"Thursdays, Fridays",6pm - 8pm,New latest business ideas,I'm indifferent,Yes,New to the group. Hope to see more later,2025-04-10,2025,4,April
8907383301,Male,Yes,Tuesdays,4pm - 6pm,Marketing,No,No,Topics,2025-04-10,2025,4,April
8907612004,Male,Yes,"Thursdays, Fridays","6pm - 8pm, 4pm - 6pm","Networking, startups, funding",I'm indifferent,Yes,I would like more events fixed in a time schedule focused to people doing other jobs for example in the evening.,2025-04-10,2025,4,April
